,Rating_id,Rating,Movie_id,title,Username,Critique,Date
72,73,4.6,9070,Mighty Morphin Power Rangers: The Movie,gmossdale20,"Measurement of POC, Nervous Pressure, Extern Approach",2010-01-25
73,74,5.3,48787,Mute Witness,lloughlan21,"Excision of R Shoulder Bursa/Lig, Perc Endo Approach, Diagn",2002-09-17
74,75,9.8,1642,The Net,msnar22,"Irrigation of Respiratory Tract using Irrigat, Endo",2006-08-16
75,76,9.5,36196,Party Girl,gperrigo23,"Supplement R Sacroiliac Jt w Autol Sub, Perc Endo",2020-01-21
76,77,8.6,11980,The Prophecy,afraine24,"Revision of Synth Sub in Low Bursa/Lig, Perc Endo Approach",2008-04-21
77,78,1.6,10533,The Scarlet Letter,zdrinkall25,"Repair Gastric Vein, Percutaneous Endoscopic Approach",2013-04-09
78,79,6.3,10802,Showgirls,cskamell26,"Insertion of Int Fix into T-lum Jt, Perc Approach",2020-05-15
79,80,7.5,10149,Smoke,pnovakovic27,"Repair Mitral Valve created from L AV Vlv, Open Approach",2013-08-11
80,81,6.5,9348,Species,cofarris28,"Insertion of Infusion Dev into Occip Jt, Perc Endo Approach",2016-09-10
81,82,1.3,281,Strange Days,samer29,"Drainage of Accessory Sinus, Percutaneous Approach, Diagn",2023-11-16
82,83,6.1,79593,The Tie That Binds,kkirsopp2a,"Bypass R Ext Iliac Art to L Ext Ilia w Synth Sub, Perc Endo",2007-11-12
83,84,8.2,3512,Under Siege 2: Dark Territory,rcoppo2b,"Insertion of Int Fix into Skull, Open Approach",2019-09-14
84,85,5.1,9560,A Walk in the Clouds,acookney2c,"Replacement of Nasopharynx with Synth Sub, Open Approach",2010-01-30
85,86,7.6,9804,Waterworld,gantalffy2d,Plaque Radiation of Ovary,2009-08-13
86,87,3.6,50797,Burnt by the Sun,iclerc2e,"Transfuse Nonaut Whole Blood in Periph Vein, Perc",2017-12-26
87,88,4.1,76,Before Sunrise,ajillis2f,"Excision of Right Temporal Bone, Percutaneous Approach",2000-07-07
88,89,5.9,11017,Billy Madison,cfrango2g,"Excision of Thorax Lymphatic, Open Approach, Diagnostic",2013-04-01
89,90,7.5,9382,Boys on the Side,hspollen2h,"Insert Endobronch Valve in L Low Lobe Bronc, Perc Endo",2012-04-04
90,91,9.3,2292,Clerks,dmacdonough2i,"Excision of Anus, External Approach, Diagnostic",2009-03-08
91,92,9.2,1909,Don Juan DeMarco,mtoler2j,"Supplement Right Upper Femur with Nonaut Sub, Open Approach",2004-09-18
92,93,1.3,8984,Disclosure,wkimmel2k,"Fragmentation in Bilateral Fallopian Tubes, Extern Approach",2015-03-22
93,94,7.3,8467,Dumb and Dumber,rsaxby2l,Plaque Radiation of Pelvic Region,2020-06-02
94,95,8.1,522,Ed Wood,hshurmer2m,"Release Prostate, Open Approach",2011-03-22
95,96,1.1,27303,Hideaway,ewillatt2n,"Drainage of Upper Tooth, Open Approach, All",2016-10-28
96,97,6.1,14275,Hoop Dreams,dyeates2o,"Replacement of Pharynx with Autol Sub, Endo",2020-01-03
97,98,4.3,1024,Heavenly Creatures,rseydlitz2p,"Imaging, Gastrointestinal System, Ultrasonography",2007-09-30
98,99,7.8,17207,Houseguest,iartz2q,"Release Left Ankle Bursa and Ligament, Perc Endo Approach",2008-08-23
99,100,2.0,628,Interview with the Vampire,gcullimore2r,"Extirpation of Matter from R Hand Vein, Perc Endo Approach",2021-06-25
100,101,9.5,87729,Jefferson in Paris,gadamik2s,"Removal of Synthetic Substitute from L Hip Jt, Open Approach",2000-04-30
101,102,5.2,6280,Junior,sneesham2t,"Drainage of Left Lung, Via Opening, Diagn",2002-10-10
102,103,5.6,11,Star Wars,tgaule2u,"Removal of Synthetic Substitute from Thor Jt, Perc Approach",2003-01-14
103,104,8.2,18183,Like Water for Chocolate,cgunner2v,"Drainage of Fetal CSF from POC, Perc Endo Approach",2016-04-28
104,105,7.2,4476,Legends of the Fall,abaxendale2w,"Extirpation of Matter from L Tunica Vaginalis, Open Approach",2005-06-05
105,106,4.9,28313,Losing Isaiah,mbrymham2x,"Excision of Anus, Percutaneous Endoscopic Approach, Diagn",2020-09-12
106,107,6.2,3036,Mary Shelley's Frankenstein,carmall2y,"Excision of Right External Iliac Artery, Open Approach",2022-09-23
107,108,9.5,17402,Miami Rhapsody,everman2z,"Replacement of R Lacrml Duct with Synth Sub, Open Approach",2005-11-15
108,109,1.2,1945,Nell,rchumley30,"Supplement Right Vocal Cord with Synth Sub, Open Approach",2003-11-14
109,110,1.3,241,Natural Born Killers,acranham31,"Restriction of L Neck Lymph with Intralum Dev, Perc Approach",2016-04-08
110,111,8.5,6950,Outbreak,ndagnall32,"Revise of Ext Fix in R Finger Phalanx Jt, Perc Endo Approach",2017-07-23
111,112,3.8,101,Leon: The Professional,gmouth33,"Dilate L Colic Art, Bifurc, w 2 Intralum Dev, Open",2011-04-13
112,113,6.8,63020,The Perez Family,wtedder34,"Drainage of Left Metacarpocarpal Joint, Open Approach",2014-06-24
113,114,4.6,680,Pulp Fiction,acorps35,"Dilate L Int Iliac Art, Bifurc, w 4+ Intralum Dev, Perc Endo",2016-01-08
114,115,6.3,25296,Pushing Hands,ibrewett36,"Insert Infusion Dev in R Ant Tib Art, Perc Endo",2023-06-30
115,116,9.5,12106,The Quick and the Dead,rlightman37,"Destruction of Left Axillary Vein, Percutaneous Approach",2009-06-04
116,117,5.2,161495,Roommates,radelsberg38,"Inspection of Left Foot, External Approach",2010-04-19
117,118,9.2,3586,PrÃªt-Ã -Porter,vkilfeder39,"Destruction of Right Finger Phalangeal Joint, Perc Approach",2002-10-04
118,119,7.3,22586,The Swan Princess,emair3a,"Supplement R Up Extrem with Nonaut Sub, Perc Endo Approach",2004-04-19
119,120,4.7,2636,The Specialist,mparmer3b,"Insertion of Intramed Fix into L Ulna, Perc Endo Approach",2009-06-02
120,121,9.6,2164,Stargate,ghorsley3c,"Bypass R Com Iliac Art to R Renal A w Synth Sub, Open",2016-05-18
121,122,8.1,11395,The Santa Clause,shadwen3d,"Therapeutic Exercise Treatment of Neuro Head, Neck",2005-03-27
122,123,4.1,278,The Shawshank Redemption,achantree3e,"Occlusion of Lg Intest with Extralum Dev, Perc Endo Approach",2022-07-29
123,124,9.7,9067,Tank Girl,jglanton3f,"Supplement L Com Iliac Vein with Synth Sub, Open Approach",2009-07-20
124,125,1.1,193,Star Trek: Generations,shalley3g,"Excision of Brain, Percutaneous Endoscopic Approach, Diagn",2006-05-29
125,126,5.9,25066,Tales from the Hood,mmcleish3h,"Bypass Bi Ureter to Bladder with Synth Sub, Open Approach",2017-07-14
126,127,4.7,1587,What's Eating Gilbert Grape,rcarlick3i,"Excision of Right Patella, Percutaneous Endoscopic Approach",2008-11-14
127,128,1.8,9271,Virtuosity,hizak3j,"Extirpate matter from R Ext Iliac Vein, Perc Endo",2019-04-16
128,129,2.9,2064,While You Were Sleeping,gbansal3k,"Revision of Spacer in Right Sacroiliac Joint, Open Approach",2002-10-12
129,130,9.5,236,Muriel's Wedding,kcoote3l,Therapeutic Exercise Treatment of Circ Body using Orthosis,2006-11-11
130,131,1.3,3049,Ace Ventura: Pet Detective,smelody3m,"Reposition Left Femoral Shaft with Int Fix, Perc Approach",2001-05-31
131,132,3.5,10497,Bitter Moon,mkeene3n,"Repair Right Vas Deferens, Percutaneous Endoscopic Approach",2022-05-20
132,133,2.7,9331,Clear and Present Danger,lverrico3o,"Drainage of Left External Ear, Open Approach, Diagnostic",2020-03-09
133,134,5.6,10731,The Client,smattersley3p,"Supplement Esophagast Junct with Synth Sub, Via Opening",2016-03-14
134,135,7.8,9495,The Crow,rbloxsome3q,Fluoroscopy of Left Renal Artery,2002-03-12
135,136,8.5,888,The Flintstones,lstorm3r,"Ultrasonography of Heart with Aorta, Transesophageal",2017-12-03
136,137,1.7,13,Forrest Gump,gnorcliff3s,"Extirpation of Matter from Left Lacrimal Duct, Open Approach",2004-03-27
137,138,7.8,712,Four Weddings and a Funeral,rfurminger3t,"Alteration of Upper Back, Percutaneous Approach",2004-12-03
138,139,10.0,10879,I Love Trouble,dhouchen3u,"Revision of Drainage Device in Uterus & Cervix, Via Opening",2014-03-11
139,140,5.1,8587,The Lion King,bpovall3v,"Occlusion of Ileocecal Valve, Perc Endo Approach",2019-03-01
140,141,7.7,1689,Little Buddha,bruger3w,"Replace L Hand Skin w Nonaut Sub, Full Thick, Extern",2020-04-26
141,142,6.9,11596,New Nightmare,bfontenot3x,"Replacement of L Knee Tendon with Synth Sub, Open Approach",2019-10-12
142,143,7.1,854,The Mask,awartnaby3y,"Supplement R Abd Tendon with Synth Sub, Perc Endo Approach",2004-04-07
143,144,4.6,36593,The Naked Gun 33â…“: The Final Insult,fbromilow3z,"Repair Ear, Nose and Sinus in POC, Via Opening",2015-04-23
144,145,9.4,2788,Reality Bites,bgathwaite40,"Radiation Therapy, Male Reprod Sys, Stereo Radiosurg",2007-07-29
145,146,2.2,10427,Red Rock West,dworvell41,"Insertion of Infusion Device into R Wrist Jt, Perc Approach",2014-08-28
146,147,8.4,1637,Speed,ahalpeine42,Coord/Dexterity Treatment of Musculosk Whole using Oth Equip,2007-03-28
147,148,9.3,8831,Timecop,awahlberg43,Beam Radiation of Ear using Photons >10 MeV,2017-08-30
148,149,6.5,36955,True Lies,mroads44,"Division of Right Shoulder Muscle, Perc Endo Approach",2021-11-19
149,150,9.8,12160,Wyatt Earp,rbasnett45,"Division of L Foot Subcu/Fascia, Perc Approach",2006-12-23
150,151,5.9,26352,A Low Down Dirty Shame,rgoodright46,"Revision of Extraluminal Device in Vas Deferens, Via Opening",2003-08-23
151,152,9.2,22067,Jason's Lyric,vmollindinia47,"Extirpation of Matter from R Shoulder Jt, Open Approach",2020-02-29
152,153,5.5,11667,Street Fighter,mlang48,"Occlusion of L Ant Tib Art with Intralum Dev, Perc Approach",2022-02-06
153,154,4.1,8011,Highlander: The Final Dimension,mburnyate49,"MRI of L Toe using Oth Contrast, Unenh, Enhance",2000-12-09
154,155,2.2,2654,In the Mouth of Madness,dayliff4a,"Restriction of Left Vertebral Artery, Perc Endo Approach",2013-05-02
155,156,8.7,10436,The Age of Innocence,pkyberd4b,"Supplement L Metatarsophal Jt with Nonaut Sub, Perc Approach",2005-06-10
156,157,5.0,46094,The Air Up There,dcharlesworth4c,"Release Facial Muscle, External Approach",2008-06-17
157,158,8.1,306,Beverly Hills Cop III,lohone4d,"Alteration of Right Upper Leg with Nonaut Sub, Perc Approach",2013-08-06
158,159,1.7,4722,Body Snatchers,dcrosher4e,"Release Right Elbow Joint, Open Approach",2000-10-08
159,160,7.1,1607,A Bronx Tale,nschowenburg4f,CT Scan of Abd Aorta using L Osm Contrast,2007-02-12
160,161,2.1,117553,Calendar Girl,khusbands4g,"Revision of Nonaut Sub in R Metacarpocarp Jt, Open Approach",2018-07-29
161,162,6.3,6075,Carlito's Way,pdefilippis4h,"Drainage of Left Occipital Bone, Perc Approach, Diagn",2006-07-25
162,163,6.5,9350,Cliffhanger,pshirley4i,"Transfer Oculomotor Nrv to Trochlear Nrv, Perc Endo Approach",2016-06-15
163,164,5.4,2124,Color of Night,cballsdon4j,"Repair Gastrointestinal System in POC with Oth Dev, Endo",2003-08-01
164,165,5.0,9571,Dazed and Confused,aphilpott4k,"Insertion of Int Fix into L Glenoid Cav, Perc Endo Approach",2014-04-26
165,166,1.1,9739,Demolition Man,mmayho4l,"Division of Left Parietal Bone, Perc Endo Approach",2009-06-12
166,167,2.4,9024,For Love or Money,elashmar4m,"Excision of Right Colic Artery, Open Approach",2021-01-01
167,168,5.2,37233,The Firm,valbers4n,LDR Brachytherapy of Soft Palate using Iridium 192,2015-12-28
168,169,9.4,1634,Free Willy,fsparsholt4o,"Reposition Right Carpal with Int Fix, Open Approach",2021-01-04
169,170,5.3,5503,The Fugitive,bhudson4p,"Revision of Spacer in Left Elbow Joint, External Approach",2015-02-26
170,171,2.5,35588,Geronimo: An American Legend,glaxon4q,"Change Other Device in Male Perineum, External Approach",2004-05-19
171,172,4.2,2019,Hard Target,rkilliner4r,"Replace of L Low Arm Skin with Synth Sub, Extern Approach",2001-04-17
172,173,2.9,9255,Hot Shots! Part Deux,fkempster4s,"Fusion Occip Jt w Autol Sub, Post Appr A Col, Perc",2018-04-19
173,174,1.1,9386,In the Line of Fire,btomlinson4t,"Bypass R Brach Art to Up Arm Vein w Nonaut Sub, Open",2009-04-13
174,175,9.8,7984,In the Name of the Father,codby4u,Fluoroscopy of Left Renal Artery using Other Contrast,2016-01-10
175,176,6.5,329,Jurassic Park,lfoskett4v,"Dilate R Ext Carotid, Bifurc, w 4 Drug-elut, Open",2008-11-03
176,177,8.8,10909,Kalifornia,bsyphas4w,"Drainage of Right Foot Muscle with Drain Dev, Open Approach",2002-08-02
177,178,7.1,507,Killing Zoe,rscuffham4x,"Reposition Right Metacarpal with Ext Fix, Perc Approach",2007-08-21
178,179,1.3,9593,Last Action Hero,moconnor4y,"Insertion of Infusion Dev into Pancreat Duct, Perc Approach",2010-05-14
179,180,1.0,10440,Manhattan Murder Mystery,mreisin4z,"Removal of Synth Sub from Facial Bone, Perc Approach",2005-05-22
180,181,8.4,9516,Menace II Society,cjosey50,"Release Right Middle Lobe Bronchus, Percutaneous Approach",2005-01-25
181,182,3.2,2320,Executive Decision,cbeckley51,"Upper Joints, Release",2021-12-28
182,183,5.4,788,Mrs. Doubtfire,sbuffin52,"Remove Int Fix from R Finger Phalanx Jt, Perc Endo",2006-08-08
183,184,9.3,11231,The Next Karate Kid,enickless53,"Introduction of Oth Diagn Subst into Ear, Via Opening",2018-02-17
184,185,8.4,10447,No Escape,wspincks54,"Supplement L Kidney Pelvis w Autol Sub, Perc Endo",2014-08-16
185,186,6.0,9559,A Perfect World,fscranny55,"Revision of Synth Sub in Peritoneum, Perc Approach",2004-08-31
186,187,3.6,9800,Philadelphia,nscad56,"Dilation of R Pulm Art with Intralum Dev, Open Approach",2000-07-08
187,188,1.4,713,The Piano,bonion57,"Removal of Drainage Device from Upper Bone, Extern Approach",2004-12-27
188,189,6.2,8291,Poetic Justice,ocarff58,"Excision of Right Lower Extremity, Perc Approach, Diagn",2005-07-12
189,190,2.2,10872,The Ref,hollington59,"Insert Limb Length Dev in L Femur Shaft, Perc Endo",2019-11-05
190,191,5.0,1245,The Remains of the Day,tludlamme5a,"Drainage of Amniotic Fl, Diagn from POC, Open Approach",2016-06-09
191,192,3.8,11858,Renaissance Man,hsayles5b,"Repair Right Upper Eyelid, External Approach",2016-05-08
192,193,8.2,5550,RoboCop 3,echrystal5c,"Dilate R Renal Art w Drug-elut Intra, Perc Endo",2022-07-17
193,194,10.0,8005,Robin Hood: Men in Tights,earthars5d,"Fusion Thor Jt w Intbd Fus Dev, Ant Appr A Col, Perc",2008-12-02
194,195,6.5,2088,Romeo Is Bleeding,ecuthill5e,"Exercise Trmt Neuro Head, Neck w Aerobic Equip",2012-09-23
195,196,7.6,47889,Ruby in Paradise,mcaller5f,"Revision of Int Fix in R Metacarpocarp Jt, Open Approach",2012-05-31
196,197,2.4,14534,Rudy,gtarquini5g,"Reposition Right Thumb Phalanx with Int Fix, Perc Approach",2004-08-03
197,198,5.7,424,Schindler's List,streagus5h,"Extirpation of Matter from Bi Vas Deferens, Perc Approach",2011-09-08
198,199,5.3,11592,Serial Mom,dwelberry5i,"Drain of Bi Adrenal Gland with Drain Dev, Perc Endo Approach",2002-03-26
199,200,5.0,8850,The Shadow,tvinten5j,Removal of Splint on Right Upper Leg,2009-05-13
200,201,1.6,858,Sleepless in Seattle,ibenninck5k,"Repair Anus, Percutaneous Approach",2022-02-05
201,202,8.2,867,Sliver,spunton5l,"Division of Left Mandible, Percutaneous Approach",2014-10-27
202,203,7.6,78,Blade Runner,uimison5m,"Supplement L Knee Bursa/Lig with Nonaut Sub, Open Approach",2023-08-31
203,204,5.5,10442,So I Married an Axe Murderer,ihorley5n,"Release Upper Gingiva, Percutaneous Approach",2000-12-11
204,205,7.8,9607,Super Mario Bros.,srowatt5o,"Revision of Synth Sub in Uterus & Cervix, Open Approach",2017-12-11
205,206,4.4,17585,Surviving the Game,cmobley5p,"Reattachment of Neck Skin, External Approach",2016-07-16
206,207,1.8,9057,Terminal Velocity,dbisley5q,"Repair Right Metacarpal, Percutaneous Endoscopic Approach",2021-08-27
207,208,9.8,9479,The Nightmare Before Christmas,lgadault5r,Plain Radiography of Bilateral Eyes,2010-11-13
208,209,6.1,10057,The Three Musketeers,pjapp5s,"Reposition Inferior Mesenteric Vein, Perc Endo Approach",2001-03-17
209,210,9.5,11969,Tombstone,gdowty5t,"Bypass R Subclav Vein to Up Vein w Autol Vn, Perc Endo",2012-05-26
210,211,3.2,319,True Romance,crattrie5u,"Revision of Drainage Device in T-lum Disc, Perc Approach",2014-12-24
211,212,8.1,15139,The Pagemaster,lgillman5v,"Occlusion of Left Basilic Vein, Percutaneous Approach",2021-01-18
212,213,4.7,771,Home Alone,pedgcumbe5w,"Excision of Right Upper Lung Lobe, Open Approach",2014-07-12
213,214,4.8,251,Ghost,agrimbaldeston5x,"Removal of Nonaut Sub from Coccygeal Jt, Perc Endo Approach",2007-06-28
214,215,6.7,812,Aladdin,rbarrick5y,"Reattachment of Right Trunk Muscle, Perc Endo Approach",2008-04-23
215,216,6.7,280,Terminator 2: Judgment Day,sbedward5z,"Insert of Radioact Elem into R Buttock, Perc Endo Approach",2018-12-25
216,217,9.2,581,Dances with Wolves,mbarabich60,"Dilate R Subclav Art w Intralum Dev, Perc Endo",2004-04-22
217,218,6.9,268,Batman,wstive61,"Destruction of Right Lung, Percutaneous Endoscopic Approach",2014-11-11
218,219,2.1,274,The Silence of the Lambs,lciccottio62,"Replacement of Right Tibia with Autol Sub, Open Approach",2009-09-14
219,220,2.7,408,Snow White and the Seven Dwarfs,adunlop63,"Fusion of Left Carpal Joint with Ext Fix, Open Approach",2022-02-13
220,221,9.1,10020,Beauty and the Beast,rcovely64,"Drainage of Bilateral Lungs with Drain Dev, Via Opening",2012-04-24
221,222,3.3,10895,Pinocchio,nprobetts65,"Removal of Ext Fix from R Knee Jt, Perc Approach",2012-03-26
222,223,4.4,114,Pretty Woman,wroch66,"Destruction of Left Eustachian Tube, Percutaneous Approach",2004-11-23
223,224,5.0,576,The Wild Bunch,kdufaire67,"Bypass Inf Vena Cava to Inf Mesent V w Autol Vn, Perc Endo",2002-01-20
224,225,7.1,275,Fargo,ranyon68,"Replacement of Lower Lip with Synth Sub, Open Approach",2001-06-10
225,226,4.8,8766,Hellraiser: Bloodline,hworwood69,"Repair Right Ankle Bursa and Ligament, Open Approach",2014-11-30
226,227,2.3,10112,The Aristocats,rtschirschky6a,Sensory/Processing Assessment of Neuro Body using Oth Equip,2017-10-17
227,228,1.1,1592,Primal Fear,ahaynesford6b,"Revision of Drainage Device in Testis, Percutaneous Approach",2008-10-19
228,229,9.5,61752,Girl 6,efogt6c,"Dilation of L Axilla Art with 2 Drug-elut, Perc Approach",2009-05-27
229,230,3.1,10684,Courage Under Fire,lgilcrist6d,LDR Brachytherapy of Abd Lymph using Californium 252,2000-08-21
