budget,homepage,id,original_language,release_date,revenue,runtime,title,genre
2000000,http://miramax.com/movie/blue-in-the-face/,5894,en,1995-09-15,1275000,83,Blue in the Face,Action
11000000,,1775,en,1995-06-08,178104,91,Canadian Bacon,Horror
50000000,,8839,en,1995-05-26,287928194,100,Casper,Sci-Fi
25000000,,20649,en,1995-09-15,13071518,128,Clockers,Thriller
50000000,,10329,en,1995-06-09,152022101,109,Congo,Documentary
53000000,,8963,en,1995-05-12,157387195,116,Crimson Tide,Documentary
7000000,,8068,en,1995-08-25,25405445,104,Desperado,Comedy
27000000,,8512,en,1995-09-15,16140822,102,Devil in a Blue Dress,Drama
90000000,,1572,en,1995-05-19,366101666,128,Die Hard: With a Vengeance,Thriller
55000000,,6520,en,1995-07-07,127600435,134,First Knight,Drama
20000000,,10428,en,1995-09-14,7563728,107,Hackers,Documentary
25000000,,9886,en,1995-05-26,19075720,97,Johnny Mnemonic,Comedy
90000000,,9482,en,1995-06-30,113493481,96,Judge Dredd,Thriller
1500000,,9344,en,1995-07-28,7412216,91,Kids,Thriller
500000,,9071,en,1995-01-20,1148752,89,Living in Oblivion,Horror
6000000,,2293,en,1995-10-20,2122561,94,Mallrats,Comedy
15000000,http://www.powerrangers.com/,9070,en,1995-06-30,66000000,92,Mighty Morphin Power Rangers: The Movie,Documentary
2,,48787,en,1995-09-28,1,95,Mute Witness,Action
22000000,,1642,en,1995-07-28,110627965,114,The Net,Comedy
150000,,36196,en,1995-06-09,472370,94,Party Girl,Adventure
8,,11980,en,1995-09-01,16,98,The Prophecy,Documentary
50000000,,10533,en,1995-10-13,10382407,135,The Scarlet Letter,Thriller
45000000,,10802,en,1995-09-22,20350754,128,Showgirls,Adventure
7000000,,10149,en,1995-06-09,8349430,112,Smoke,Thriller
35000000,,9348,en,1995-07-07,113374103,108,Species,Action
42000000,http://www.strange-days.com,281,en,1995-10-13,7959291,145,Strange Days,Thriller
14000000,,79593,en,1995-09-08,5780000,99,The Tie That Binds,Documentary
60000000,,3512,en,1995-07-13,104324083,100,Under Siege 2: Dark Territory,Sci-Fi
20000000,,9560,en,1995-08-11,50012507,103,A Walk in the Clouds,Adventure
175000000,,9804,en,1995-07-28,264218220,135,Waterworld,Adventure
2800000,,50797,ru,1994-05-01,2616503,135,Burnt by the Sun,Drama
2500000,,76,en,1995-01-27,5535405,105,Before Sunrise,Comedy
10000000,,11017,en,1995-02-10,26488734,89,Billy Madison,Adventure
21000000,,9382,en,1995-02-03,23450000,115,Boys on the Side,Sci-Fi
27000,http://www.miramax.com/movie/clerks/,2292,en,1994-09-13,3151130,92,Clerks,Drama
25000000,,1909,en,1994-10-01,22200000,97,Don Juan DeMarco,Action
55000000,,8984,en,1994-12-09,214015089,123,Disclosure,Documentary
16000000,,8467,en,1994-12-16,247275374,107,Dumb and Dumber,Thriller
18000000,,522,en,1994-09-27,5887457,127,Ed Wood,Adventure
15000000,,27303,en,1995-03-03,12201255,103,Hideaway,Comedy
700000,,14275,en,1994-09-12,7830611,171,Hoop Dreams,Sci-Fi
5000000,http://www.miramax.com/movie/heavenly-creatures,1024,en,1994-09-02,3049135,99,Heavenly Creatures,Action
10500000,,17207,en,1995-01-06,26325256,113,Houseguest,Action
60000000,,628,en,1994-11-11,223664608,123,Interview with the Vampire,Sci-Fi
14000000,,87729,en,1995-03-31,2474000,139,Jefferson in Paris,Comedy
60000000,,6280,en,1994-11-22,37000000,109,Junior,Adventure
11000000,http://www.starwars.com/films/star-wars-episode-iv-a-new-hope,11,en,1977-05-25,775398007,121,Star Wars,Action
2000000,http://www.miramax.com/movie/like-water-for-chocolate/,18183,es,1992-04-16,21665468,105,Like Water for Chocolate,Documentary
30000000,,4476,en,1994-12-16,160638883,133,Legends of the Fall,Adventure
17000000,,28313,en,1995-03-17,7603766,106,Losing Isaiah,Comedy
45000000,,3036,en,1994-11-04,112006296,123,Mary Shelley's Frankenstein,Horror
6,,17402,en,1995-01-27,5,95,Miami Rhapsody,Thriller
31000000,,1945,en,1994-12-23,106683817,112,Nell,Drama
34000000,,241,en,1994-08-25,50282766,119,Natural Born Killers,Documentary
50000000,,6950,en,1995-03-10,189859560,127,Outbreak,Action
16000000,,101,fr,1994-09-14,45284974,110,Leon: The Professional,Sci-Fi
11000000,,63020,en,1995-05-12,2832826,113,The Perez Family,Comedy
8000000,,680,en,1994-09-10,213928762,154,Pulp Fiction,Action
400000,,25296,zh,1992-02-01,152322,105,Pushing Hands,Comedy
32000000,,12106,en,1995-02-09,18552460,107,The Quick and the Dead,Action
22000000,,161495,sv,1995-03-01,12400000,108,Roommates,Horror
15000000,http://www.miramax.com/movie/ready-to-wear/,3586,en,1994-12-23,11300653,133,Prêt-à-Porter,Drama
35000000,http://www.sonypictures.com/movies/theswanprincess/,22586,en,1994-11-18,9771658,89,The Swan Princess,Adventure
45000000,,2636,en,1994-10-07,170362582,110,The Specialist,Drama
55000000,,2164,en,1994-10-27,196567262,121,Stargate,Comedy
22000000,,11395,en,1994-11-10,189833357,97,The Santa Clause,Sci-Fi
25000000,,278,en,1994-09-23,28341469,142,The Shawshank Redemption,Comedy
25000000,,9067,en,1995-03-31,4064495,98,Tank Girl,Adventure
38000000,,193,en,1994-11-17,120000000,118,Star Trek: Generations,Sci-Fi
6000000,,25066,en,1995-05-24,12000000,98,Tales from the Hood,Horror
11000000,,1587,en,1993-12-17,10032765,118,What's Eating Gilbert Grape,Action
30000000,,9271,en,1995-08-04,24048000,106,Virtuosity,Action
17000000,,2064,en,1995-04-21,182057016,103,While You Were Sleeping,Thriller
3000000,,236,en,1994-09-29,15119639,106,Muriel's Wedding,Horror
15000000,,3049,en,1994-02-04,107217396,86,Ace Ventura: Pet Detective,Action
5000000,,10497,en,1992-09-02,1862805,139,Bitter Moon,Sci-Fi
62000000,,9331,en,1994-08-03,215887717,141,Clear and Present Danger,Comedy
45000000,,10731,en,1994-07-20,117615211,119,The Client,Thriller
15000000,,9495,en,1994-05-11,94000000,102,The Crow,Comedy
46000000,,888,en,1994-05-26,341631208,91,The Flintstones,Comedy
55000000,,13,en,1994-07-06,677945399,142,Forrest Gump,Thriller
6000000,http://workingtitlefilms.com/film.php?filmID=59,712,en,1994-03-09,254700832,117,Four Weddings and a Funeral,Horror
45000000,,10879,en,1994-06-29,61947267,123,I Love Trouble,Documentary
45000000,http://movies.disney.com/the-lion-king,8587,en,1994-06-23,788241776,89,The Lion King,Thriller
35000000,,1689,en,1993-12-01,4858139,140,Little Buddha,Comedy
14000000,,11596,en,1994-10-13,18090181,112,New Nightmare,Action
23000000,,854,en,1994-07-29,351583407,101,The Mask,Comedy
30000000,,36593,en,1994-03-18,51132598,83,The Naked Gun 33⅓: The Final Insult,Documentary
11500000,,2788,en,1994-02-18,20079850,99,Reality Bites,Comedy
8000000,,10427,en,1993-07-08,2000000,98,Red Rock West,Drama
30000000,,1637,en,1994-06-09,350448145,116,Speed,Documentary
27000000,,8831,en,1994-09-15,101646581,99,Timecop,Adventure
115000000,,36955,en,1994-07-14,378882411,141,True Lies,Drama
63000000,,12160,en,1994-06-24,25052000,191,Wyatt Earp,Thriller
10000000,,26352,en,1994-11-23,29392418,100,A Low Down Dirty Shame,Action
7000000,,22067,en,1994-09-28,20851521,119,Jason's Lyric,Thriller
35000000,,11667,en,1994-12-22,99423521,102,Street Fighter,Comedy
26000000,,8011,en,1994-11-29,36800000,99,Highlander: The Final Dimension,Thriller
8000000,http://www.theofficialjohncarpenter.com/in-the-mouth-of-madness/,2654,en,1994-12-12,8946600,95,In the Mouth of Madness,Drama
34000000,,10436,en,1993-09-17,32255440,139,The Age of Innocence,Documentary
17080000,,46094,en,1994-01-07,21011500,107,The Air Up There,Horror
50000000,,306,en,1994-05-24,119208989,104,Beverly Hills Cop III,Sci-Fi
13000000,,4722,en,1993-06-09,428868,87,Body Snatchers,Thriller
22000000,,1607,en,1993-09-14,17287898,121,A Bronx Tale,Horror
13000000,http://www.sonymoviechannel.com/movies/calendar-girl/details,117553,en,1993-09-03,2570145,90,Calendar Girl,Action
30000000,,6075,en,1993-11-10,36516012,144,Carlito's Way,Action
70000000,,9350,en,1993-05-28,255000211,112,Cliffhanger,Drama
40000000,,2124,en,1994-08-19,19726050,121,Color of Night,Thriller
6900000,,9571,en,1993-09-24,7993039,102,Dazed and Confused,Documentary
57000000,http://www.warnerbros.com/demolition-man,9739,en,1993-10-08,159055768,115,Demolition Man,Sci-Fi
30000000,,9024,en,1993-10-01,11146270,94,For Love or Money,Comedy
42000000,,37233,en,1993-06-30,270248367,154,The Firm,Comedy
20000000,,1634,en,1993-07-16,153698625,112,Free Willy,Action
44000000,,5503,en,1993-08-06,368875760,130,The Fugitive,Action
35000000,,35588,en,1993-12-10,18635620,115,Geronimo: An American Legend,Thriller
18000000,,2019,en,1993-08-20,74189677,97,Hard Target,Sci-Fi
25000000,,9255,en,1993-05-21,133752825,86,Hot Shots! Part Deux,Horror
40000000,,9386,en,1993-07-08,176997168,128,In the Line of Fire,Documentary
13000000,,7984,en,1993-12-12,65796862,133,In the Name of the Father,Thriller
63000000,http://www.jurassicpark.com/,329,en,1993-06-11,920100000,127,Jurassic Park,Documentary
9000000,http://www.mgm.com/#/our-titles/1024/Kalifornia,10909,en,1993-09-01,2395231,117,Kalifornia,Documentary
1500000,,507,en,1993-10-01,418961,96,Killing Zoe,Documentary
85000000,,9593,en,1993-06-18,137298489,130,Last Action Hero,Thriller
13500000,,10440,en,1993-08-18,11285588,104,Manhattan Murder Mystery,Horror
3500000,,9516,en,1993-05-26,27900000,97,Menace II Society,Horror
55000000,,2320,en,1996-03-15,121969216,133,Executive Decision,Drama
25000000,,788,en,1993-11-24,441286195,125,Mrs. Doubtfire,Adventure
12000000,,11231,en,1994-07-18,15826984,107,The Next Karate Kid,Action
20000000,,10447,en,1994-04-29,15340000,118,No Escape,Comedy
30000000,,9559,en,1993-11-24,135130999,138,A Perfect World,Horror
26000000,,9800,en,1993-12-22,206678440,125,Philadelphia,Horror
7000000,,713,en,1993-05-19,116700000,121,The Piano,Documentary
14000000,http://www.janetjackson.com,8291,en,1993-07-23,27515786,109,Poetic Justice,Documentary
11000000,,10872,en,1994-03-09,11439193,97,The Ref,Horror
11500000,,1245,en,1993-11-05,23237911,134,The Remains of the Day,Documentary
40000000,,11858,en,1994-06-03,24332324,128,Renaissance Man,Adventure
22000000,,5550,en,1993-04-17,10696210,104,RoboCop 3,Horror
20000000,,8005,en,1993-07-28,35739755,104,Robin Hood: Men in Tights,Thriller
11500000,,2088,en,1993-09-13,3275585,100,Romeo Is Bleeding,Horror
800000,,47889,en,1993-10-08,1001437,114,Ruby in Paradise,Adventure
12000000,,14534,en,1993-09-17,22750363,114,Rudy,Thriller
22000000,http://www.schindlerslist.com/,424,en,1993-11-29,321365567,195,Schindler's List,Horror
13000000,,11592,en,1994-04-13,7820688,95,Serial Mom,Adventure
25000000,,8850,en,1994-07-01,48063435,108,The Shadow,Thriller
21000000,,858,en,1993-06-24,227799884,105,Sleepless in Seattle,Comedy
40000000,,867,en,1993-05-21,116300000,108,Sliver,Sci-Fi
28000000,http://www.warnerbros.com/blade-runner,78,en,1982-06-25,33139618,117,Blade Runner,Drama
20000000,,10442,en,1993-07-30,11585483,93,So I Married an Axe Murderer,Action
48000000,,9607,en,1993-05-28,20915465,104,Super Mario Bros.,Documentary
7400000,,17585,en,1994-04-15,7690013,96,Surviving the Game,Sci-Fi
50000000,,9057,en,1994-09-23,16478900,102,Terminal Velocity,Comedy
18000000,,9479,en,1993-10-09,75634409,76,The Nightmare Before Christmas,Documentary
30000000,http://movies.disney.com/the-three-musketeers,10057,en,1993-11-11,53898845,105,The Three Musketeers,Action
25000000,,11969,en,1993-12-25,56505065,130,Tombstone,Adventure
12500000,,319,en,1993-09-09,12281551,120,True Romance,Documentary
27000000,,15139,en,1994-11-23,13670688,80,The Pagemaster,Action
18000000,https://www.foxconnect.com/home-alone-4.html,771,en,1990-11-09,476684675,103,Home Alone,Drama
22000000,,251,en,1990-07-12,505000000,127,Ghost,Drama
28000000,http://movies.disney.com/aladdin,812,en,1992-11-25,504050219,90,Aladdin,Action
100000000,,280,en,1991-07-01,520000000,137,Terminator 2: Judgment Day,Adventure
22000000,,581,en,1990-11-09,424208848,181,Dances with Wolves,Adventure
35000000,,268,en,1989-06-23,411348924,126,Batman,Horror
19000000,,274,en,1991-02-01,272742922,119,The Silence of the Lambs,Documentary
1488423,http://movies.disney.com/snow-white-and-the-seven-dwarfs,408,en,1937-12-20,184925486,83,Snow White and the Seven Dwarfs,Adventure
25000000,http://disney.go.com/disneyvideos/animatedfilms/beauty/?cmp=dcom_VAN_WDSHE_BEA_van_batb__Extl,10020,en,1991-11-13,377350553,84,Beauty and the Beast,Comedy
2600000,,10895,en,1940-02-23,84300000,88,Pinocchio,Comedy
14000000,,114,en,1990-03-23,463000000,119,Pretty Woman,Documentary
6244087,,576,en,1969-06-17,638641,145,The Wild Bunch,Documentary
7000000,http://www.themoviefargo.com/,275,en,1996-04-05,60611975,98,Fargo,Action
4000000,,8766,en,1996-03-08,16675000,86,Hellraiser: Bloodline,Action
4000000,,10112,en,1970-12-23,55675257,78,The Aristocats,Horror
30000000,,1592,en,1996-04-03,102616183,129,Primal Fear,Drama
12000000,,61752,en,1996-03-22,4939939,108,Girl 6,Comedy
46000000,,10684,en,1996-07-04,100860818,117,Courage Under Fire,Comedy
80000000,http://www.missionimpossible.com/,954,en,1996-05-22,457696359,110,Mission: Impossible,Drama
57000000,,8840,en,1996-05-31,115267375,103,DragonHeart,Comedy
38000000,http://movies.disney.com/james-and-the-giant-peach,10539,en,1996-04-12,28921264,79,James and the Giant Peach,Documentary
13000000,,47502,en,1996-04-03,9789900,91,Faithful,Documentary
80000000,http://www.warnerbros.com/archive/spacejam/movie/jam.htm,2300,en,1996-11-15,250200000,88,Space Jam,Drama
9000000,,8069,en,1968-10-10,2500000,98,Barbarella,Adventure
25000000,,40001,en,1996-04-19,10070000,105,Mrs. Winterbourne,Adventure
30000000,,9103,en,1996-04-19,57400547,95,The Quest,Action
31000000,,12233,en,1988-11-18,74151346,74,Oliver & Company,Drama
25530000,,36355,en,1996-05-17,20080020,95,Flipper,Adventure
35000000,,11876,en,1995-09-20,15000000,135,The Horseman on the Roof,Comedy
15000000,,9100,en,1996-05-03,24769466,101,The Craft,Comedy
4800000,,40507,en,1996-05-10,3014000,99,Original Gangstas,Horror
75000000,,9802,en,1996-06-06,335062621,136,The Rock,Sci-Fi
92000000,,664,en,1996-05-10,494471524,113,Twister,Comedy
25000000,,10547,en,1996-05-31,14048372,115,The Arrival,Sci-Fi
1800000,,935,en,1964-01-29,9440272,95,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Sci-Fi
45000000,,9826,en,1996-06-06,17300889,100,The Phantom,Sci-Fi
50000000,,9879,en,1996-06-28,113309743,115,Striptease,Comedy
45000000,,7095,en,1996-08-09,58620973,113,Jack,Drama
4000000,http://www.miramax.com/movie/trainspotting/,627,en,1996-02-23,16491080,93,Trainspotting,Documentary
75000000,,602,en,1996-06-25,816969268,145,Independence Day,Documentary
55000000,,9566,en,1996-08-15,18626419,116,The Fan,Action
100000000,,10545,en,1996-06-21,100138851,91,The Hunchback of Notre Dame,Drama
47000000,,9894,en,1996-06-10,102825796,96,The Cable Guy,Drama
27000000,,11543,en,1996-07-04,25023434,113,Kingpin,Documentary
100000000,http://www.warnerbros.com/eraser,9268,en,1996-06-21,242295562,115,Eraser,Horror
54000000,,9327,en,1996-06-26,128769345,95,The Nutty Professor,Adventure
80000000,,11228,en,1996-12-06,159212469,115,Daylight,Horror
30000000,,10779,en,1996-07-18,29359216,110,The Frighteners,Action
5000000,,26748,en,1996-06-21,13269963,135,Lone Star,Drama
32000000,,9294,en,1996-07-05,152036382,123,Phenomenon,Thriller
3500000,,11363,en,1996-08-26,9482579,96,She's the One,Action
40000000,,1645,en,1996-07-24,152266007,149,A Time to Kill,Thriller
25000000,,18550,en,1996-07-19,17193231,98,Fled,Horror
13000000,,11962,en,1996-07-26,4619014,78,Joe's Apartment,Documentary
26000000,,2925,en,1996-09-20,116400000,102,The First Wives Club,Horror
80000000,,3595,en,1996-11-08,309492681,117,Ransom,Sci-Fi
50000000,,12123,en,1996-08-02,60209334,107,Chain Reaction,Thriller
36000000,,10830,en,1996-08-02,33459416,98,Matilda,Action
6000000,http://www.miramax.com/movie/emma/,3573,en,1996-08-02,22231658,121,Emma,Action
13000000,,10546,en,1996-08-29,17917287,84,The Crow: City of Angels,Documentary
15000000,,9431,en,1996-08-16,5600000,87,Bordello of Blood,Action
6000000,,47907,en,1996-08-23,12643776,117,The Spitfire Grill,Comedy
50000000,http://www.theofficialjohncarpenter.com/escape-from-la/,10061,en,1996-08-09,42277365,97,Escape from L.A.,Documentary
2962051,,549,en,1996-08-09,3011195,108,Basquiat,Action
45000000,,10478,en,1996-08-16,53854588,135,Tin Cup,Adventure
200000,,66634,en,1991-06-02,300000,109,Dingo,Drama
6000000,http://www.thegodfather.com/,238,en,1972-03-14,245066411,175,The Godfather,Comedy
900000,,11134,cn,1992-07-04,20483423,95,Police Story 3: Supercop,Adventure
500000,,88224,en,1996-01-22,431326,88,Manny & Lo,Thriller
4500000,,9303,en,1996-09-13,7011317,108,Bound,Documentary
60000000,,11015,en,1997-01-10,33956608,110,The Relic,Thriller
40000000,,9306,en,1996-08-23,49627779,96,The Island of Dr. Moreau,Sci-Fi
25000000,,10723,en,1996-09-06,22611954,84,Bulletproof,Action
5000000,,10987,en,1995-09-29,15116634,88,Halloween: The Curse of Michael Myers,Sci-Fi
2540800,,872,en,1952-04-10,7200000,103,Singin' in the Rain,Adventure
2723903,,2769,en,1951-08-08,4500000,113,An American in Paris,Drama
2500000,,164,en,1961-10-05,9500000,110,Breakfast at Tiffany's,Action
2479000,,426,en,1958-05-09,28000000,128,Vertigo,Adventure
1000000,,567,en,1954-08-01,36764313,112,Rear Window,Drama
325000,,3078,en,1934-02-22,4500000,105,It Happened One Night,Drama
4000000,,213,en,1959-07-07,13275000,136,North by Northwest,Sci-Fi
3000000,,284,en,1960-06-15,25000000,125,The Apartment,Drama
2883848,,239,en,1959-03-18,25000000,122,Some Like It Hot,Drama
4000000,,4808,en,1963-12-05,13474588,113,Charade,Horror
878000,,289,en,1942-11-26,10462500,102,Casablanca,Sci-Fi
375000,,963,en,1941-11-18,1000000,100,The Maltese Falcon,Sci-Fi
17000000,,11113,en,1964-10-21,72070731,170,My Fair Lady,Comedy
2238813,,6620,en,1954-09-28,10000000,113,Sabrina,Adventure
1500000,,804,en,1953-09-02,12000000,119,Roman Holiday,Sci-Fi
2777000,http://thewizardofoz.warnerbros.com/,630,en,1939-08-15,33754967,102,The Wizard of Oz,Comedy
4000000,,770,en,1939-12-15,400176459,238,Gone with the Wind,Adventure
1752000,,599,en,1950-08-10,5000000,110,Sunset Boulevard,Sci-Fi
839727,,15,en,1941-04-30,23217674,119,Citizen Kane,Thriller
10500000,,62,en,1968-04-10,68700000,149,2001: A Space Odyssey,Adventure
1400000,,705,en,1950-11-09,63463,138,All About Eve,Thriller
1688000,,22490,en,1939-01-01,2270000,133,The Women,Drama
1288000,,223,en,1940-04-12,6000000,130,Rebecca,Sci-Fi
2000000,,303,en,1946-08-15,24464742,102,Notorious,Sci-Fi
1500000,,4174,en,1945-12-28,7000000,111,Spellbound,Documentary
2500000,,381,en,1955-08-03,8750000,106,To Catch a Thief,Horror
1365000,,1859,en,1939-10-06,2279000,110,Ninotchka,Drama
2033000,,10907,en,1938-05-13,3981000,102,The Adventures of Robin Hood,Sci-Fi
1020000,,1939,en,1944-10-11,2000000,88,Laura,Action
609000,,3080,en,1935-09-06,3202000,101,Top Hat,Drama
5400000,,1712,en,1956-10-10,35000000,201,Giant,Comedy
1,,220,en,1955-03-09,5,115,East of Eden,Adventure
226408,,3529,en,1934-05-25,1423000,93,The Thin Man,Horror
6000000,,2897,en,1956-10-17,42000000,167,Around the World in Eighty Days,Comedy
3180000,,1585,en,1946-12-20,9644124,130,It's a Wonderful Life,Sci-Fi
1500000,,3083,en,1939-10-19,9600000,129,Mr. Smith Goes to Washington,Horror
114000,,10331,en,1968-10-01,30000000,96,Night of the Living Dead,Horror
1300000,,488,en,1951-12-03,10750000,105,The African Queen,Horror
3000000,,261,en,1958-02-17,17570324,108,Cat on a Hot Tin Roof,Comedy
4,,22649,en,1932-12-08,25,89,A Farewell to Arms,Horror
25000000,,10861,en,1996-09-13,51702483,100,Maximum Risk,Drama
28000000,,1770,en,1996-10-25,16900000,132,Michael Collins,Comedy
67000000,,9333,en,1996-09-20,47267001,101,Last Man Standing,Action
9000000,http://www.newline.com/properties/setitoff.html,9400,en,1996-11-06,41590886,118,Set It Off,Comedy
2300000,,12241,en,1996-09-06,49620,88,Curdled,Thriller
38000000,,11306,en,1996-09-27,17380126,118,Extreme Measures,Adventure
50000000,,6346,en,1996-10-11,22540359,113,The Chamber,Drama
5000000,,173,en,1954-12-23,28200000,127,"20,000 Leagues Under the Sea",Comedy
14000000,,864,en,1993-09-30,154864401,98,Cool Runnings,Documentary
2900000,http://movies.disney.com/cinderella-1950,11224,en,1950-03-04,263591415,74,Cinderella,Adventure
3000000,,9078,en,1963-12-25,22182353,79,The Sword in the Stone,Horror
48000000,,8367,en,1991-06-14,390493908,143,Robin Hood: Prince of Thieves,Action
6000000,,433,en,1964-08-27,102272727,139,Mary Poppins,Horror
812000,,11360,en,1941-10-22,1600000,64,Dumbo,Thriller
20000000,,12335,en,1971-10-07,17900000,117,Bedknobs and Broomsticks,Sci-Fi
3000000,,12092,en,1951-07-03,572000000,75,Alice in Wonderland,Comedy
12000000,http://movies.disney.com/the-fox-and-the-hound,10948,en,1981-07-10,29800000,82,The Fox and the Hound,Drama
8200000,,15121,en,1965-03-02,286214286,174,The Sound of Music,Horror
28000000,,562,en,1988-07-15,140767956,131,Die Hard,Comedy
10000000,,10163,en,1992-03-05,32101000,108,The Lawnmower Man,Horror
4500000,,11159,en,1996-05-24,13417292,142,Secrets & Lies,Action
16000000,,41843,en,1996-09-04,1985001,125,Surviving Picasso,Thriller
65000000,,11412,en,1996-10-11,89456761,120,The Long Kiss Goodnight,Documentary
50000000,,10586,en,1996-10-11,75000000,109,The Ghost and the Darkness,Thriller
2400000,,49471,en,1996-10-16,5731103,120,Get on the Bus,Drama
45000000,,38153,en,1997-01-31,2154540,103,Shadow Conspiracy,Horror
7000000,http://www.imdb.com/title/tt0116722/,25147,en,1996-02-06,405000,123,Jude,Sci-Fi
14500000,http://www.romeoandjuliet.com/,454,en,1996-10-31,147298761,120,Romeo + Juliet,Action
200000,,10218,en,1996-10-18,4505922,94,Swingers,Horror
44000000,,819,en,1996-10-18,165615285,147,Sleepers,Comedy
3000000,,252,en,1971-06-29,4000000,100,Willy Wonka & the Chocolate Factory,Sci-Fi
2000000,,11561,en,1973-12-17,18344729,89,Sleeper,Horror
2000000,,11302,en,1971-04-28,11833696,82,Bananas,Drama
7500000,,623,en,1988-07-15,62493712,108,A Fish Called Wanda,Drama
4000000,,583,en,1979-08-17,20045115,94,Life of Brian,Adventure
12000000,,11575,en,1965-07-01,25333333,160,The Great Race,Horror
2500000,,475,en,1967-07-18,50700000,111,Bonnie and Clyde,Horror
1400000,,521,en,1954-05-29,3000000,104,Dial M for Murder,Comedy
6000000,http://lionsgateathome.com/dirty-dancing,88,en,1987-08-21,213954274,100,Dirty Dancing,Sci-Fi
